cell_id	plate_id	well_id	plate_col	plate_row	sort_gate	sort_mode	sort_count	dna_library_id	dna_read_pairs	dna_unpaired_reads	dna_unmapped	dna_dups_pct	rna_library_id	ercc_frac	rna_counts	rna_features	source	timepoint
VZA01803.B08	VZA01803	B08	8	B	G1	Single Cell	1	VZA01803D_B08	403292	20601	31421	0.053125000000000006	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B09	VZA01803	B09	9	B	G1	Single Cell	1	VZA01803D_B09	319377	18347	26113	0.051377000000000006	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B10	VZA01803	B10	10	B	G1	Single Cell	1	VZA01803D_B10	370253	20923	30285	0.06214	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B11	VZA01803	B11	11	B	G1	Single Cell	1	VZA01803D_B11	133961	9869	13689	0.046103000000000005	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B12	VZA01803	B12	12	B	G1	Single Cell	1	VZA01803D_B12	119296	10889	14581	0.054020000000000006	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B13	VZA01803	B13	13	B	G1	Single Cell	1	VZA01803D_B13	319298	20019	28901	0.05453100000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B14	VZA01803	B14	14	B	G1	Single Cell	1	VZA01803D_B14	307474	18767	27427	0.05361400000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B15	VZA01803	B15	15	B	G1	Single Cell	1	VZA01803D_B15	454776	24703	35303	0.06609500000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B16	VZA01803	B16	16	B	G1	Single Cell	1	VZA01803D_B16	504522	24662	37720	0.07057400000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B17	VZA01803	B17	17	B	G1	Single Cell	1	VZA01803D_B17	546446	26407	40797	0.064027	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B18	VZA01803	B18	18	B	G1	Single Cell	1	VZA01803D_B18	541673	28928	44316	0.06776500000000002	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B19	VZA01803	B19	19	B	G1	Single Cell	1	VZA01803D_B19	191548	15402	23202	0.05113700000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B20	VZA01803	B20	20	B	G1	Single Cell	1	VZA01803D_B20	565769	31053	46065	0.046965999999999994	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B21	VZA01803	B21	21	B	non-G1	Single Cell	1	VZA01803D_B21	209	2904	3778	0.84708	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B22	VZA01803	B22	22	B	non-G1	Single Cell	1	VZA01803D_B22	640064	32084	47204	0.054955000000000004	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B23	VZA01803	B23	23	B	non-G1	Single Cell	1	VZA01803D_B23	700194	37442	56892	0.054812000000000013	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.B24	VZA01803	B24	24	B	non-G1	Single Cell	1	VZA01803D_B24	279	2314	2728	0.76915	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C01	VZA01803	C01	1	C	G1	Single Cell	1	VZA01803D_C01	421812	20198	30630	0.048048	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C02	VZA01803	C02	2	C	G1	Single Cell	1	VZA01803D_C02	159738	8714	13184	0.054270000000000006	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C03	VZA01803	C03	3	C	G1	Single Cell	1	VZA01803D_C03	180591	8301	12459	0.035045999999999994	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C04	VZA01803	C04	4	C	G1	Single Cell	1	VZA01803D_C04	495566	18743	28599	0.051695000000000005	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C05	VZA01803	C05	5	C	G1	Single Cell	1	VZA01803D_C05	165212	7443	11373	0.036091	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C06	VZA01803	C06	6	C	G1	Single Cell	1	VZA01803D_C06	313815	15896	23510	0.045968999999999996	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C07	VZA01803	C07	7	C	G1	Single Cell	1	VZA01803D_C07	433799	18132	28896	0.052006000000000004	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C08	VZA01803	C08	8	C	G1	Single Cell	1	VZA01803D_C08	68	647	793	0.7598980000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C09	VZA01803	C09	9	C	G1	Single Cell	1	VZA01803D_C09	231395	12197	17969	0.046743999999999994	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C10	VZA01803	C10	10	C	G1	Single Cell	1	VZA01803D_C10	298459	16618	23844	0.056010000000000004	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C11	VZA01803	C11	11	C	G1	Single Cell	1	VZA01803D_C11	125409	7938	11248	0.043025	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C12	VZA01803	C12	12	C	G1	Single Cell	1	VZA01803D_C12	117741	9251	12809	0.048841	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C13	VZA01803	C13	13	C	G1	Single Cell	1	VZA01803D_C13	272193	15326	22268	0.049098	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C14	VZA01803	C14	14	C	G1	Single Cell	1	VZA01803D_C14	319493	15020	23082	0.050504	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C15	VZA01803	C15	15	C	G1	Single Cell	1	VZA01803D_C15	392995	19312	28314	0.054684	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C16	VZA01803	C16	16	C	G1	Single Cell	1	VZA01803D_C16	437700	19447	29379	0.055178000000000005	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C17	VZA01803	C17	17	C	G1	Single Cell	1	VZA01803D_C17	564921	21148	34390	0.05751300000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C18	VZA01803	C18	18	C	G1	Single Cell	1	VZA01803D_C18	463331	21188	31644	0.061780999999999996	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C19	VZA01803	C19	19	C	G1	Single Cell	1	VZA01803D_C19	316384	17855	28057	0.040338000000000006	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C20	VZA01803	C20	20	C	G1	Single Cell	1	VZA01803D_C20	359953	18122	26954	0.05173900000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C21	VZA01803	C21	21	C	non-G1	Single Cell	1	VZA01803D_C21	363807	18415	27545	0.054215000000000006	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C22	VZA01803	C22	22	C	non-G1	Single Cell	1	VZA01803D_C22	490436	22033	32879	0.062004	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C23	VZA01803	C23	23	C	non-G1	Single Cell	1	VZA01803D_C23	702120	29937	46669	0.051702000000000005	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.C24	VZA01803	C24	24	C	non-G1	Single Cell	1	VZA01803D_C24	393984	21096	31210	0.049906	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D01	VZA01803	D01	1	D	G1	Single Cell	1	VZA01803D_D01	43563	3352	4920	0.090928	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D02	VZA01803	D02	2	D	G1	Single Cell	1	VZA01803D_D02	414155	19025	29393	0.053435	NA	NA	NA	NA	X-ray 3Gy	96h
